CONTAINER ID   NAME       CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
adffbd267201   client32   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
43362667caca   client31   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8cb5084e82e6   client30   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
169bbcddb1e8   client29   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
5f891dd02f73   client28   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
60c05dd57c0b   client27   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
896853302dd5   client26   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a034605dbc92   client25   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
1cdca34c50f6   client24   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
fc413434cd1a   client23   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a7fabd4f4016   client22   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
6fb3f58c25e3   client21   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
b409a1eae81e   client20   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
09d792b74a0f   client19   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8ff8ee3c1570   client18   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8fce1aff1f40   client17   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
2ed57f2d471b   client16   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
c3ea852b1591   client15   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
06c57a4795da   client14   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
acb32da5d584   client13   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
e30313f61032   client12   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
c4484d63225a   client11   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
aa9a2e7e79d1   client10   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a5c6561b524b   client9    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
73a3fd8c8dfe   client8    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
aa034e2667c0   client7    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
d654aae12db2   client6    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
eaba316f6ad0   client5    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
2d0e8040f94b   client4    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
0ef9082444a0   client3    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
2f57c1d794a4   client2    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
e42bbc450475   client1    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
CONTAINER ID   NAME       CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
adffbd267201   client32   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
43362667caca   client31   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8cb5084e82e6   client30   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
169bbcddb1e8   client29   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
5f891dd02f73   client28   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
60c05dd57c0b   client27   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
896853302dd5   client26   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a034605dbc92   client25   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
1cdca34c50f6   client24   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
fc413434cd1a   client23   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a7fabd4f4016   client22   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
6fb3f58c25e3   client21   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
b409a1eae81e   client20   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
09d792b74a0f   client19   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8ff8ee3c1570   client18   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8fce1aff1f40   client17   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
2ed57f2d471b   client16   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
c3ea852b1591   client15   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
06c57a4795da   client14   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
acb32da5d584   client13   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
e30313f61032   client12   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
c4484d63225a   client11   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
aa9a2e7e79d1   client10   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a5c6561b524b   client9    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
73a3fd8c8dfe   client8    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
aa034e2667c0   client7    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
d654aae12db2   client6    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
eaba316f6ad0   client5    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
2d0e8040f94b   client4    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
0ef9082444a0   client3    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
2f57c1d794a4   client2    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
e42bbc450475   client1    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
CONTAINER ID   NAME       CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
adffbd267201   client32   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
43362667caca   client31   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8cb5084e82e6   client30   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
169bbcddb1e8   client29   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
5f891dd02f73   client28   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
60c05dd57c0b   client27   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
896853302dd5   client26   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a034605dbc92   client25   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
1cdca34c50f6   client24   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
fc413434cd1a   client23   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a7fabd4f4016   client22   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
6fb3f58c25e3   client21   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
b409a1eae81e   client20   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
09d792b74a0f   client19   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8ff8ee3c1570   client18   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8fce1aff1f40   client17   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
2ed57f2d471b   client16   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
c3ea852b1591   client15   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
06c57a4795da   client14   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
acb32da5d584   client13   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
e30313f61032   client12   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
c4484d63225a   client11   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
aa9a2e7e79d1   client10   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a5c6561b524b   client9    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
73a3fd8c8dfe   client8    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
aa034e2667c0   client7    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
d654aae12db2   client6    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
eaba316f6ad0   client5    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
2d0e8040f94b   client4    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
0ef9082444a0   client3    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
2f57c1d794a4   client2    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
e42bbc450475   client1    0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
