CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     183.3MiB / 15.63GiB   1.15%     1.57kB / 1.08kB   0B / 0B       16
29bdf4609909   edge-broker           51.12%    151MiB / 15.63GiB     0.94%     1.64kB / 634B     0B / 27.3MB   41
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.02%     183.3MiB / 15.63GiB   1.15%     1.57kB / 1.08kB   0B / 0B       16
29bdf4609909   edge-broker           0.96%     140.4MiB / 15.63GiB   0.88%     6.98kB / 2.8kB    0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.09%     184.2MiB / 15.63GiB   1.15%     296kB / 2.34kB   0B / 0B       16
29bdf4609909   edge-broker           0.81%     140.8MiB / 15.63GiB   0.88%     159kB / 154kB    0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.08%     186MiB / 15.63GiB     1.16%     1.47MB / 6.96kB   0B / 0B       16
29bdf4609909   edge-broker           0.71%     141.4MiB / 15.63GiB   0.88%     1.35MB / 1.35MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.10%     187.1MiB / 15.63GiB   1.17%     2.65MB / 11.5kB   0B / 0B       16
29bdf4609909   edge-broker           0.77%     144.5MiB / 15.63GiB   0.90%     2.69MB / 2.69MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.14%     188.7MiB / 15.63GiB   1.18%     3.97MB / 17.8kB   0B / 0B       16
29bdf4609909   edge-broker           0.43%     147MiB / 15.63GiB     0.92%     3.74MB / 3.73MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     189MiB / 15.63GiB     1.18%     4.71MB / 21.3kB   0B / 0B       16
29bdf4609909   edge-broker           0.41%     147.9MiB / 15.63GiB   0.92%     4.78MB / 4.77MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     189MiB / 15.63GiB     1.18%     4.71MB / 21.3kB   0B / 0B       16
29bdf4609909   edge-broker           0.18%     146.3MiB / 15.63GiB   0.91%     4.78MB / 4.77MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     198.5MiB / 15.63GiB   1.24%     4.71MB / 171kB    0B / 0B       33
29bdf4609909   edge-broker           0.44%     144.9MiB / 15.63GiB   0.91%     4.97MB / 9.58MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.02%     198.5MiB / 15.63GiB   1.24%     4.71MB / 171kB    0B / 0B       33
29bdf4609909   edge-broker           0.96%     144.9MiB / 15.63GiB   0.91%     4.97MB / 9.58MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     198.5MiB / 15.63GiB   1.24%     4.71MB / 171kB    0B / 0B       33
29bdf4609909   edge-broker           0.39%     144.8MiB / 15.63GiB   0.90%     4.97MB / 9.59MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     198.5MiB / 15.63GiB   1.24%     4.71MB / 171kB    0B / 0B       33
29bdf4609909   edge-broker           0.68%     144MiB / 15.63GiB     0.90%     4.97MB / 9.59MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.13%     198.5MiB / 15.63GiB   1.24%     5.89MB / 177kB    0B / 0B       33
29bdf4609909   edge-broker           0.78%     144.8MiB / 15.63GiB   0.90%     5.86MB / 10.5MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.06%     198.5MiB / 15.63GiB   1.24%     7.21MB / 182kB   0B / 0B       33
29bdf4609909   edge-broker           0.80%     147.3MiB / 15.63GiB   0.92%     7.35MB / 12MB    0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.07%     198.5MiB / 15.63GiB   1.24%     8.1MB / 186kB     0B / 0B       33
29bdf4609909   edge-broker           0.53%     147.3MiB / 15.63GiB   0.92%     8.54MB / 13.2MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     199.2MiB / 15.63GiB   1.24%     9.42MB / 192kB    0B / 0B       33
29bdf4609909   edge-broker           0.84%     148.8MiB / 15.63GiB   0.93%     9.73MB / 14.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     199.2MiB / 15.63GiB   1.24%     9.42MB / 192kB    0B / 0B       33
29bdf4609909   edge-broker           0.56%     147.3MiB / 15.63GiB   0.92%     9.73MB / 14.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     199.2MiB / 15.63GiB   1.24%     9.42MB / 192kB    0B / 0B       33
29bdf4609909   edge-broker           0.62%     145.5MiB / 15.63GiB   0.91%     9.73MB / 14.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     199.2MiB / 15.63GiB   1.24%     9.42MB / 192kB    0B / 0B       33
29bdf4609909   edge-broker           0.67%     144MiB / 15.63GiB     0.90%     9.73MB / 14.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
